_id,title,rating,year,users_rating,votes,metascore,description,runtime,codirector,director,cogenre,genre,mainactor,secactor,seclanguage,vose,country,seccountry
62920b14f70f528bb91f841c,A Rainy Day in New York,PG-13,2019,6.6,21903,44,A young couple arrives in New York for a weekend where they are met with bad weather and a series of adventures.,92 min,,Woody Allen,Romance,Comedy,Timothée Chalamet,Elle Fanning,,English,USA,
62920b14f70f528bb91f841d,Ferris Bueller's Day Off,PG-13,1986,7.8,308847,61,"A high school wise guy is determined to have a day off from school, despite what the Principal thinks of that.",103 min,,John Hughes,,Comedy,Matthew Broderick,Alan Ruck,German,English,USA,
62920b14f70f528bb91f841e,Cape Fear,R,1991,7.3,25310,73,"A convicted rapist, released from prison after serving a fourteen-year sentence, stalks the family of the lawyer who originally defended him.",128 min,,Martin Scorsese,Thriller,Crime,Robert De Niro,Nick Nolte,,English,USA,
62920b14f70f528bb91f841f,Mean Girls,PG-13,2004,7.0,320492,66,"Cady Heron is a hit with The Plastics, the A-list girl clique at her new school, until she makes the mistake of falling for Aaron Samuels, the ex-boyfriend of alpha Plastic Regina George.",97 min,,Mark Waters,,Comedy,Lindsay Lohan,Rachel McAdams,German,English,USA,Canada
62920b14f70f528bb91f8420,Gretel & Hansel,PG-13,2020,5.3,15051,64,"A long time ago in a distant fairy tale countryside, a young girl leads her little brother into a dark wood in desperate search of food and work, only to stumble upon a nexus of terrifying evil.",87 min,,Oz Perkins,Horror,Fantasy,Sophia Lillis,Samuel Leakey,,English,Canada,Ireland
62920b14f70f528bb91f8421,Jurassic World: Fallen Kingdom,PG-13,2018,6.2,250190,51,"When the island's dormant volcano begins roaring to life, Owen and Claire mount a campaign to rescue the remaining dinosaurs from this extinction-level event.",128 min,,J.A. Bayona,Adventure,Action,Chris Pratt,Bryce Dallas Howard,Russian,English,USA,
62920b14f70f528bb91f8422,The Avengers,PG-13,2012,8.0,40134,69,Earth's mightiest heroes must come together and learn to fight as a team if they are going to stop the mischievous Loki and his alien army from enslaving humanity.,143 min,,Joss Whedon,Adventure,Action,Robert Downey Jr.,Chris Evans,Russian,English,USA,
62920b14f70f528bb91f8423,Good Will Hunting,R,1997,8.3,826970,70,"Will Hunting, a janitor at M.I.T., has a gift for mathematics, but needs help from a psychologist to find direction in his life.",126 min,,Gus Van Sant,Romance,Drama,Matt Damon,Ben Affleck,,English,USA,
62920b14f70f528bb91f8424,2001: A Space Odyssey,G,1968,8.3,580491,84,"After discovering a mysterious artifact buried beneath the Lunar surface, mankind sets off on a quest to find its origins with help from intelligent supercomputer H.A.L. 9000.",149 min,,Stanley Kubrick,Sci-Fi,Adventure,Keir Dullea,Gary Lockwood,Russian,English,UK,USA
62920b14f70f528bb91f8425,Scarface,R,1983,8.3,712283,65,"In 1980 Miami, a determined Cuban immigrant takes over a drug cartel and succumbs to greed.",170 min,,Brian De Palma,Drama,Crime,Al Pacino,Steven Bauer,Spanish,English,USA,
