Orden,Nombre,Freq1,Freq2
1,MARIA CARMEN,647.877 ,"58,7"
2,MARIA,589.055 ,"48,5"
3,CARMEN,375.835 ,"60,5"
4,ANA MARIA,271.616 ,"52,8"
5,JOSEFA,262.571 ,"69,1"
6,MARIA PILAR,260.302 ,"58,6"
7,ISABEL,258.873 ,"58,3"
8,LAURA,257.680 ,"30,0"
9,MARIA DOLORES,255.040 ,"58,2"
10,MARIA TERESA,248.131 ,"58,6"
11,ANA,246.892 ,"44,5"
12,CRISTINA,228.022 ,"35,5"
13,MARTA,226.974 ,"30,9"
14,MARIA ANGELES,223.560 ,"57,0"
15,LUCIA,208.878 ,"23,9"
16,FRANCISCA,204.718 ,"66,0"
17,MARIA ISABEL,203.839 ,"54,6"
18,MARIA JOSE,203.236 ,"47,8"
19,ANTONIA,198.493 ,"65,8"
20,DOLORES,187.124 ,"67,9"
21,SARA,172.330 ,"25,7"
22,PAULA,171.912 ,"20,9"
23,ELENA,161.552 ,"37,6"
24,MARIA LUISA,156.661 ,"62,3"
25,RAQUEL,147.970 ,"37,8"
26,ROSA MARIA,146.852 ,"54,0"
27,PILAR,141.468 ,"64,4"
28,MANUELA,140.802 ,"61,0"
29,CONCEPCION,140.358 ,"66,8"
30,MARIA JESUS,136.736 ,"56,9"
31,MERCEDES,133.991 ,"62,2"
32,JULIA,125.798 ,"39,3"
33,BEATRIZ,123.191 ,"38,9"
34,NURIA,120.523 ,"39,5"
35,SILVIA,120.380 ,"37,7"
36,ALBA,119.104 ,"17,8"
37,IRENE,117.379 ,"27,5"
38,ROSARIO,116.470 ,"64,9"
39,JUANA,115.392 ,"66,8"
40,TERESA,113.947 ,"62,5"
41,PATRICIA,112.249 ,"33,4"
42,ENCARNACION,111.866 ,"64,4"
43,MONTSERRAT,108.551 ,"55,8"
44,ANDREA,108.336 ,"23,9"
45,ROCIO,107.983 ,"30,4"
46,MONICA,103.317 ,"39,4"
47,ALICIA,100.530 ,"39,4"
48,MARIA MAR,99.405 ,"45,3"
49,ROSA,98.927 ,"65,5"
50,SONIA,98.049 ,"39,1"
51,SANDRA,97.952 ,"31,1"
52,MARINA,97.671 ,"33,2"
53,ANGELA,96.852 ,"44,8"
54,SUSANA,95.520 ,"43,8"
55,NATALIA,94.283 ,"29,6"
56,YOLANDA,91.915 ,"44,5"
57,MARGARITA,87.617 ,"61,1"
58,MARIA JOSEFA,85.644 ,"63,6"
59,CLAUDIA,83.470 ,"17,3"
60,SOFIA,82.123 ,"18,7"
61,EVA,80.960 ,"33,9"
62,CARLA,78.833 ,"14,1"
63,MARIA ROSARIO,78.492 ,"60,1"
64,INMACULADA,78.020 ,"45,8"
65,MARIA MERCEDES,76.971 ,"56,4"
66,ANA ISABEL,76.225 ,"45,1"
67,ESTHER,74.297 ,"42,8"
68,NOELIA,73.944 ,"29,5"
69,VERONICA,71.796 ,"35,2"
70,NEREA,66.953 ,"19,9"
71,CAROLINA,66.876 ,"34,1"
72,ANGELES,65.002 ,"66,9"
73,DANIELA,64.728 ,"14,4"
74,MARIA VICTORIA,63.405 ,"53,7"
75,EVA MARIA,63.155 ,"43,0"
76,INES,63.026 ,"35,2"
77,MIRIAM,62.655 ,"28,6"
78,LORENA,61.837 ,"30,0"
79,MARIA ROSA,61.503 ,"62,5"
80,MARIA ELENA,60.587 ,"51,2"
81,ANA BELEN,60.564 ,"39,6"
82,VICTORIA,59.698 ,"46,3"
83,MARIA CONCEPCION,59.445 ,"63,1"
84,AMPARO,57.984 ,"65,4"
85,MARTINA,57.123 ,"15,8"
86,MARIA ANTONIA,55.424 ,"61,0"
87,ALEJANDRA,53.807 ,"24,1"
88,LIDIA,53.352 ,"35,5"
