Orden,Apellido,Freq1,Freq2,Freq3
1,GARCIA,1.462.696,1.481.423,77.942
2,RODRIGUEZ,930.659,940.196,42.281
3,GONZALEZ,927.819,936.783,40.616
4,FERNANDEZ,910.545,921.528,50.352
5,LOPEZ,871.745,879.535,33.850
6,MARTINEZ,833.665,839.944,38.074
7,SANCHEZ,818.322,827.726,33.762
8,PEREZ,779.666,792.588,25.823
9,GOMEZ,492.977,496.657,13.555
10,MARTIN,485.649,483.903,20.629
11,JIMENEZ,396.237,396.265,21.957
12,HERNANDEZ,368.259,371.774,15.177
13,RUIZ,367.446,371.628,8.440
14,DIAZ,342.548,343.507,8.281
15,MORENO,321.848,323.544,10.016
16,MUÑOZ,282.983,283.538,6.642
17,ALVAREZ,281.024,280.367,9.553
18,ROMERO,222.901,223.254,4.473
19,GUTIERREZ,195.913,198.110,3.852
20,ALONSO,194.767,193.256,4.581
21,NAVARRO,177.788,175.685,3.433
22,TORRES,172.278,171.174,3.883
23,DOMINGUEZ,157.637,159.067,3.275
24,VAZQUEZ,146.602,146.106,3.430
25,RAMOS,146.394,145.973,2.259
26,RAMIREZ,142.066,143.062,2.644
27,GIL,139.877,139.449,2.058
28,SERRANO,131.371,131.524,1.902
29,MOLINA,122.652,122.833,2.061
30,BLANCO,122.585,122.704,1.815
31,MORALES,122.459,123.105,1.834
32,SUAREZ,120.909,122.605,3.242
33,ORTEGA,118.018,117.285,1.525
34,CASTRO,117.804,118.037,1.798
35,DELGADO,117.612,117.966,1.628
36,ORTIZ,108.948,110.270,1.388
37,MARIN,105.273,102.793,1.668
38,RUBIO,103.886,104.370,1.391
39,NUÑEZ,91.974,91.875,1.465
40,SANZ,91.758,90.440,2.237
41,MEDINA,90.282,90.347,1.557
42,IGLESIAS,88.107,87.869,1.524
43,CASTILLO,87.212,87.436,1.368
44,CORTES,86.595,86.705,5.876
45,GARRIDO,85.074,86.103,1.295
46,SANTOS,84.456,84.939,1.083
47,GUERRERO,80.053,80.743,996
48,LOZANO,79.924,80.011,1.241
49,CANO,77.296,77.193,1.371
